字符串序号	字号大小	简体中文	英语	西班牙语	法语	意大利语	俄语	德语	日语	韩语	土耳其语	乌克兰语	结束列
31	\t	取消	Cancel	Cancelar	Annuler	Annulla	Отменить	Abbrechen	キャンセル	취소	İptal	Скасувати	-
32	\t	打印	Print	Imprimir	Impression	Stampa	Печать	Drucken	印刷	프린트	Yazdır	Друк	-
33	\t	层	layer	Capa	Couche	livello	Слой	Ebene	レイヤー	레이어	Katman	Шар	-
34	\t	回零中…	Returning to home...	Volviendo a inicio...	Retour à la position initiale...	Ritorno alla posizione iniziale...	Возврат домой...	Zur Ausgangsposition zurückkehren ...	原点復帰中…	홈 복귀 중…	Anasayfaya Geri Dönüyor	Повернення додому…	-
35	\t	预热中…	Preheating...	Precalentando...	Préchauffe...	Pre riscaldamento…	Преднагрев…	Vorheizen…	予熱中…	예열 중…	Ön Isıtma…	Переднагрівання	-
36	\t	自动调平	Automatic Leveling	Nivelación automática	Nivellement automatique	Livellamento automatico	Автовыравнивание	Automatische Nivellierung	オートレベリング	자동 레벨링	Otomatik Seviyelendirme	Автовирівнювання	-
37	\t	严重错误	Serious error	Error grave	Erreur majeure	Errore critico	Серьёзная ошибка	Schwerwiegender Fehler	重大なエラー	심각한 오류	Kritik Hata	Серйозна помилка	-
38	\t	一般错误	Minor error	Error menor	Erreur mineure	Errore minore	Небольшая ошибка	Geringfügiger Fehler	一般的なエラー	사소한 오류	Küçük Hata	Невелика помилка	-
39	\t	热床未按预期加热	The heated bed didn't heat up as expected.	La plataforma térmica no se ha calentado como se esperaba.	La plateforme n'a pas chauffé comme prévu.	Il piatto non si è riscaldato come previsto	Стол не нагрелся как надо.	Das Heizbett hat sich nicht wie erwartet erwärmt.	ヒートベッドが想定通りに加熱されませんでした。	히트베드가 예상대로 가열되지 않습니다.	Isıtmalı Yatak Beklendiği Gibi Isınmadı.	Стіл не нагрівся як треба	-
40	\t	请检查热床和接线	Please troubleshoot the heated bed and wiring.	Por favor, solucione el problema de la plataforma térmica y el cableado.	Veuillez vérifier la plateforme chauffante et le câblage.	Controllare il piatto riscaldato e i cavi.	Проверьте подключение нагревателя стола.	Bitte überprüfen Sie das Heizbett und die Verkabelung.	ヒートベッドと配線をチェックしてください	히트베드의 배선 문제를 해결하세요.	Lütfen ısıtmalı yatak ve kablo tesisatını kontrol edin (Cihaz Kapalıyken)	Перевірте підключення нагрівача столу.	-
41	\t	请在移动前将移动轴归零	Please return to home before moving.	Por favor, vuelva a la posición inicial antes de moverse.	Veuillez revenir à la position initiale avant de vous déplacer.	Tornare alla posizione di home prima di effettuare movimenti.	Сначала сделайте Возврат в начальное положение	Bitte kehren Sie vor dem Bewegen zum Nullpunkt zurück.	移動させる前にホームポジションに戻してください	작동 전, 홈 복귀를 시도하세요.	Lütfen hareket etmeden önce başlangıç konumuna geri dönün.	Спочатку зробіть Повернення у початкове положення	-
42	\t	耗材即将用尽请更换耗材	The filament is running out, please replace in time.	El filamento se está acabando, por favor, sustitúyalo a tiempo.	Le filament est presque épuisé, veuillez le remplacer à temps.	Il filamento sta per esaurirsi, sostituirlo tempestivamente.	Нить филамента закончилась или засорилась. Пожалуйста, проверьте.	Das Filament geht zu Ende, bitte ersetzen Sie es.	フィラメントがなくなりました。すぐに取り替えてください。	필라멘트가 소진되었습니다. 적절한 시기에 교체해 주세요.	Filament bitmek üzere, lütfen zamanında değiştirin.	Нитка філаменту закінчилася чи засмічена. Перевірте, будь ласка.	-
43	\t	详情	Details	Detalles	Détails	Maggiori dettagli	Подробности	Details	詳細	상세설명	Detaylar	Подробиці	-
44	\t	重启	Reboot	Reiniciar	Redémarrage	Riavvia	Перезагрузка	Neustart	再起動	재부팅	Yeniden başlat	Перезавантаження	-
45	\t	确定	Confirm	Confirmar	Confirmer	Confermare	Подтвердить	Bestätigen	確認	확인	Onayla	Підтвердити	-
46	\t	返回	Back	Atrás	Retour	Indietro	Назад	Zurück	戻る	뒤로	Geri	Назад	-
47	\t	打印完成!	Printing completed!	¡Impresión finalizada!	Impression terminée!	Stampa completata!	Печать Завершена!	Druck abgeschlossen!	印刷完了	출력 완료!	Yazdırma Tamamlandı!	Друк завершено!	-
48	\t	打印时间	Print time	Tiempo de impresión	Temps d'impression	Tempo di stampa	Время печати	Druckzeit	印刷時間	프린트 시간	Yazdırma Süresi	Час друку	-
49	\t	确认	Confirm	Confirmar	Confirmer	Confermare	Подтвердить	Bestätigen	確認	확인	Onayla	Підтвердити	-
50	\t	再打一次	Print again	Volver a imprimir	Imprimer à nouveau	Stampa di nuovo	Напечатать снова	Erneut drucken	もう一度印刷する	재출력	Tekrar Yazdır	Надрукувати знов	-
51	\t	停止	Stop	Detener	Arrêt	Fermare	Остановить	Stopp	停止	정지	Dur	Зупинити	-
52	\t	暂停	Pause	Pausa	Pause	Pausa	Пауза	Pause	一時停止	일시중지	Duraklat	Пауза	-
53	\t	温馨提示	Kind Reminder	Recordatorio	Rappel	Attenzione	Полезный совет	Hinweis	リマインド	친절한 알림	Hatırlatma	Корисна порада	-
54	\t	进料	Load	Cargar	Charger	Caricamento	Заправка	Extrudieren	挿入	로드	Yükleme	Заправка	-
55	\t	退料	Unload	Descargar	Décharger	Scaricamento	Извлечение	Entladen	アンロード	언로드	Çıkart	Вилучення	-
56	\t	停止挤出	Stop extrusion	Detener extrusión	Arrêter l'extrusion	Fermare l'estruzione	Остановить экструдирование	Extrusion stoppen	押し出し停止	압출 정지	Ekstrüsyonu Durdur	Зупинити екструдування	-
57	\t	删除文件中…	Deleting the files...	Borrando los archivos...	Suppression des fichiers...	Cancellazione dei file…	Удаление файлов…	Löschen der Dateien ...	ファイルを削除しています…	파일을 삭제합니다…	Dosyalar Siliniyor…	Видалення файлів	-
58	\t	正在复制到U盘	Copying to USB drive...	Copiando a memoria USB...	Copie vers la mémoire USB...	Copiando i file nel dispsositivo USB…	Копирование на носитель…	Auf USB-Laufwerk kopieren...	USBドライブにコピーしています…	USB 드라이브에 복사 중…	USB Sürücü Kopyalanıyor	Копіювання на носій	-
59	\t	发现新版本	New version detected	Nueva versión detectada	Nouvelle version détectée	Rilevata una nuova versione	Обнаружена новая версия	Neue Version gefunden	新しいバージョンが検出されました	새로운 버전이 감지되었습니다	Yeni Versiyon Bulundu	Виявлено нову версію	-
60	\t	当前版本	Current version	Versión actual	Version actuelle	Versione attuale	Текущая версия	Aktuelle Version	現在のバージョン	현재 버전	Mevcut Versiyon	Поточна версія	-
61	\t	最新版本	The latest version	Última versión	Dernière version	Ultima versione	Самая свежая вресия	Die neueste Version	最新バージョン	최신 버전	En Son Versiyon	Найсвіжіша вресія	-
62	\t	不再提醒	No more reminder	No más recordatorios	Pas de rappels supplémentaires	Non visualizzare più i promemoria	Больше нет уведомлений	Keine weitere Erinnerung	リマインドしない	더 이상 알림이 없습니다	Hatırlatma Yok	Більше немає повідомлень	-
63	\t	更新	Update	Actualizar	Mettre à jour	Aggiorna	Обновить	Aktualisieren	アップデート	업데이트	Güncelleme	Оновити	-
64	\t	更新中…	Updating...	Actualizando...	Mise à jour en cours...	Aggiornamento...	Идёт обновление...	Aktualisiere…	更新中	업데이트 중…	Güncelleniyor	Йде оновлення	-
65	\t	版本更新失败请重试	Update failed, please try again.	Error en la actualización, inténtelo de nuevo.	La mise à jour a échoué, veuillez réessayer.	Aggiornamento fallito, riprovare.	Обновление не удалось! Попробуйте снова.	Aktualisierung fehlgeschlagen, bitte versuchen Sie es erneut.	アップデートに失敗しました。再度お試しください。	업데이트에 실패했습니다. 다시 시도하세요.	Güncelleme Başarısız, Lütfen Tekrar Deneyin	Оновлення не вдалось! Спробуйте ще раз.	-
66	\t	更新完成	Update completed	Actualización finalizada	Mise à jour terminée.	Aggiornamento completato	Обновление завершено.	Aktualisierung abgeschlossen	アップデート完了	업데이트 완료	Güncelleme Başarılı	Оновлення завершено	-
67	\t	语言选择	Language Selection	Selección de idioma	Sélection de langue	Selezione della lingua	Язык	Sprachauswahl	言語の選択	언어 선택	Dil Seçimi	Мова	-
68	\t	屏幕亮度	Brightness	Luminosidad	Luminosité	luminosità dello schermo	Яркость	Helligkeit	明るさ	명도	Parlaklık	Яскравість	-
69	\t	息屏	Screen Off	Pantalla apagada	Écran éteint	Spegnimento dello schermo	Камера	Bildschirm aus	スクリーンオフ	화면 꺼짐	Ekran Kapalı	Камера	-
70	\t	分钟	mins	minutos	minutes	minuti	Язык	Min	分	분	Dakika	Мова	-
71	\t	常亮	Always On	Siempre encendido	Toujours allumé	Sempre acceso	Включен всегда	Immer an	常時オン	항상 켜짐	Herzaman Açık	Включений завжди	-
72	\t	灯光	Lighting	Iluminación	Éclairage	Retroilluminazione	Подсветка	Beleuchtung	照明	조명	Aydınlatma	Підсвічування	-
73	\t	断料检测	Filament Detector	Detector de filamento	Détecteur de filaments	Sensore per il rilevamento del filamento	Датчик филамента	Filamentdetektor	フィラメント検出器	필라멘트 감지기	Filament dedektörü	Датчик філаменту	-
74	\t	按键声音	Key Sound	Sonido del teclado	Son des touches	Suono dei tasti	Звук кнопок	Tastenton	キーサウンド	키 사운드	Anahtar Ses	Звук кнопок	-
75	\t	静音模式	Silent mode	Modo silencioso	Mode silencieux	Modalità silenziosa	Тихий режим	Ruhemodus	静音モード	무음 모드	Sessiz Mod	Тихий режим	-
76	\t	断电续打	Power Loss Recovery	Recuperación de pérdida de corriente	Récupération après panne de courant	Ripristino da interruzione dell'alimentazione	Восстановление после потери электропитания	Wiederherstellung nach Stromausfall	停電復旧	전력 손실 복구	Elektrik Kesintisi Kurtarma	Відновлення після втрати електропостачання	-
77	\t	日志导出	Log Export	Exportación de registros	Export du registre	Esporta il log	Сохранить логирование	Log-Export	ログのエクスポート	로그 내보내기	Kayıtları Dışarı Aktar	Зберегти логування	-
78	\t	时区设置	Time Zone Settings	Ajustes de zona horaria	Paramètres du fuseau horaire	Impostazione del fuso orario	Часовой пояс	Zeitzoneneinstellungen	タイムゾーンの設定	시간대 설정	Saat Dilimi Ayarları	Часовий пояс	-
79	\t	检测更新	Check for Updates	Comprobación de actualizaciones	Vérification des mises à jour	Verifica degli Aggiornamenti	Проверить наличие обновлений	Updates suchen	アップデートの確認	업데이트 확인	Güncellemeleri kontrol edin	Перевірити наявність оновлень	-
80	\t	恢复出厂设置	Restore Factory Settings	Restablecer a fábrica	Restore Factory Settings	Ripristina impostazioni di fabbrica	Возврат заводской	Auf Werkseinstellungen zurücksetzen	工場出荷時の設定に戻す	공장 설정 복원	Fabrika Ayarlarına Geri Dön	Скидання до заводських налаштувань	-
81	\t	自动调平	Automatic Leveling	Nivelación automática	Nivellement automatique	Livellamento automatico	Автовыравнивание	Automatische Nivellierung	オートレベリング	자동 레벨링	Otomatik Seviyelendirme	Автовирівнювання	-
82	\t	PID检测	PID Tuning	Ajuste PID	Réglage du PID	Calibrazione PID	Настройка PID	PID Tuning	PIDチューニング	PID 튜닝	PID Ayarlama	Налаштування PID	-
83	\t	振纹优化	Input Shaping	Input shaping	Input shaping	Input shaping	Input shaping	Input shaping	Input Shaping	입력 쉐이핑	Girdi Şekillendirme	Вхідне формування	-
84	\t	一键自检	One-click self-check	Acomprobación con un solo clic	Autotest en un clic	Autodiagnosi rapida	Быстрый самоконтроль	Selbsttest	ワンクリックセルフテスト	원클릭 셀프체크	Tek tıkla otomatik kontrol	Швидкий самоконтроль	-
85	\t	此功能包含自动调平、喷头PID检测、振纹优化	This function tests Automatic Leveling, PID Tuning and Input Shaping.	Esta función prueba la Nivelación Automática, el Ajuste PID y el input shaping.	Cette fonction permet de tester le nivellement automatique, le réglage PID et la mise en forme de l'entrée.	Questa funzione testa il livellamento automatico, calibraazione PID e Input Shaping.	Тест работы автовыравнивания, настройки PID и input shaping.	Diese Funktion testet die automatische Nivellierung, die PID-Abstimmung und das Input Shaping.	ここには、自動校正、ノズルPID検出、振れ目（振紋）最適化があります。 	이 기능은 자동 레벨링, PID 튜닝 및 입력 쉐이핑을 테스트합니다.	Bu fonksiyon Otomatik Seviyelendirme, PID Ayarlama ve Giriş Şekillendirmeyi test eder.	Тест роботи автовирівнювання, налаштування PID і формування входу	-
86	\t	此操作将触发自动调平是否继续	This operation will trigger the automatic leveling. Continue?	Esta operación activará la nivelación automática. ¿Desea continuar?	Cette opération déclenche le nivellement automatique. Continuer ?	Questa operazione attiva il livellamento automatico. Continuare?	Эта операция запустит автоматическое выравнивание. Продолжить?	Dieser Vorgang wird die automatische Nivellierung auslösen. Weiter?	この操作により自動レベリングが開始されます。続行しますか？	이 작업을 수행하면 자동 레벨링이 시작됩니다. 계속하시겠습니까?	Bu işlem otomatik seviyelendirmeyi başlatır. Devam etmek istiyor musunuz?	Ця операція припиняє автоматичне вирівнювання. Продовжити?	-
87	\t	调平中…	Automatic leveling...	Nivelación automática ...	Auto-nivellement ...	Livellamento automatico...	Автовыравнивание...	Auto-Leveling...	オートレベリング ...	자동 레벨링…	Otomatik Seviyelendirme…	Автовирівнювання	-
88	\t	停止	Stop	Detener	Arrêt	Fermare	Остановить	Stopp	停止	정지	Dur	Зупинити	-
89	\t	完成	Completed	Completado	Terminé	Completato	Завершено	Abgeschlossen	完了	완료	Tamamlandı	Завершено	-
90	\t	检测选项  	Calibration Options	Opciones de calibración	Options de calibration	Opzioni di calibrazione	Настройки калибровки	Prüfoptionen	キャリブレーションオプション	교정 옵션	Kalibrasyon Seçenekleri	Налаштування калібрування	-
91	\t	全选	Select All	Seleccionar todo	Sélectionner tout	Seleziona tutto	Выбрать всё	ALLE auswählen	すべて選択	모두 선택	Hepsini Seç	Обрати все	-
92	\t	PID检测	PID Tuning	Ajuste PID	Réglage du PID	Calibrazione PID	Настройка PID	PID Tuning	PIDチューニング	PID 튜닝	PID Ayarlama	Налаштування PID	-
93	\t	开始	Start	Iniciar	Commencer	Avvia	Начать	Start	開始	시작 	Başlat	Почати	-
94	\t	自检中	Self-checking...	Autocomprobación...	Autovérification	Autodiagnosi…	Самопроверка…	Selbsttest	セルフチェック中…	자체 점검 중…	Otomatik Kontrol	Самоперевірка	-
95	\t	设定目标温度后点击开始按键进行校准	Set the target temperature, then press Start to begin tuning	Ajuste la temperatura objetivo y pulse Inicio para iniciar la calibración.	Réglez la température cible, puis appuyez sur Start pour commencer la mise au point.	Imposta la temperatura obiettivo, quiondi premi Avvia per iniziare la calibrazione	Утсановите нужную температуру и нажмите "Начать" для запуска настройки	Stellen Sie die Zieltemperatur ein und drücken Sie dann Start, um mit dem tuning zu beginnen.	目標温度を設定し、スタートを押してチューニングを開始してください。	목표 온도를 설정한 후 시작을 눌러 튜닝을 시작하세요.	Hedef sıcaklığı ayarlayın, ardından ayarlamaya başlamak için Başlat düğmesine basın	Встановіть потрібну температуру і натисніть «Почати» для запуску налаштувань	-
96	\t	开始	Start	Iniciar	Commencer	Avvia	Начать	Start	開始	시작 	Başlat	Почати	-
97	\t	振动检测中	Vibration calibrating ...	Calibración de vibraciones ...	Détection des vibrations...	Rilevamento vibrazione…	Замер вибрации…	Vibrationserkennung läuft	振動キャリブレーション中…	진동 교정 …	Titreşim Kalibrasyonu	Замір вібрації	-
98	\t	传感器检测中	Sensor detecting...	Sensor detectando...	Détection des capteurs...	Rilevamento sensore…	Поиск датчика…	Sensorerkennung läuft	センサー検出中	센서 감지…	Sensör Algılama	Пошук датчика	-
99	\t	检测完成	Calibration completed	Calibración completada	Calibration terminée	Calibrazione completata	Калибровка завершена	Kalibrierung abgeschlossen	キャリブレーション完了	교정 완료	Kalibrasyon Tamamlandı	Калібрування завершено	-
100	\t	传感器正常	Normal sensor	Sensor normal	Capteur normal	Sensore normale	Датчик исправен	Sensor normal	センサー正常	일반 센서	Normal Sensör	Датчик справний	-
101	\t	传感器异常	Abnormal sensor	Sensor anormal	Capteur anormal	Anomalia sensore	Датчик исправен	Sensorfehler	センサー異常	비정상 센서	Anormal Sensör	Несправність датчика	-
102	\t	检测失败	Tuning failed	Error de ajuste	Échec de la mise au point	Calibrazione fallita	Настройка PID не удалась!	Tuning fehlgeschlagen	チューニングが失敗しました	튜닝에 실패했습니다	Ayarlama Başarısız Oldu	Налаштування PID не вдалось	-
103	\t	开始	Start	Iniciar	Commencer	Avvia	Начать	Start	開始	시작 	Başlat	Почати	-
104	\t	预热中	Preheating	Precalentando	Préchauffe	Pre riscaldamento	Преднагрев	Vorheizen	予熱中	예열	Ön Isıtma	Переднагрів	-
105	\t	预热完成	Preheating completed	Precalentamiento completado	Préchauffage terminé	Preriscaldamento completato	Преднагрев завершён	Vorheizen abgeschlossen	予熱完了	예열 완료	Ön Isıtma Tamamlandı	Переднагрів завершено	-
106	\t	喷头PID检测中	Tuning the Nozzle PID ...	Ajuste del PID de la boquilla ...	Mise au point du PID de la buse ...	Calibrazione PID dell'ugello…	Настройка PID…	PID-Tuning der Düsen läuft…	ノズルPIDをチューニングしています…	노즐 PID 조정…	Nozulların PID ayarı devam ediyor...	Налаштування PID…	-
107	\t	检测中	Tuning...	Calibrando...	Mise au point...	Calibrazione…	Настройка…	Messe…	検出中	튜닝 중…	Ayarlanıyor…	Налаштування	-
108	\t	已是最新版本	Already at the latest version	Ya está la última versión	Déjà à la dernière version	Ultima versione già installata	Последняя версия уже установлена	Bereits die neueste Version	すでに最新バージョンです	이미 최신 버전입니다	En Son Versiyon Kullanımda	Остання версія вже встановлена	-
109	\t	正在回零中…	Returning to home...	Volviendo a inicio...	Retour à la position initiale...	Ritorno alla posizione iniziale...	Возврат домой...	Zur Ausgangsposition zurückkehren ...	原点復帰中…	홈 복귀 중…	Anasayfaya Geri Dönüyor	Повернення додому…	-
110	\t	正在导出日志	Exporting the log...	Exportando el registro...	Export du registre en cours...	Esportazione del log…	Экспортируем лог…	Exportieren des Logs...	ログを出力しています…	로그를 내보내는 중…	Kayıtlar Dışarı Aktarılıyor…	Експортуємо лог…	-
111	\t	未检测到U盘	No USB drive detected	No se ha detectado ninguna memoria USB	Pas de mémoire USB détectée	Nessun dispositivo USB rilevato	USB-носитель не обнаружен	Kein USB-Laufwerk erkannt	USBドライブが見つかりません	USB 드라이브가 감지되지 않았습니다	USB Sürücü Bulunamadı	USB-носій не виявлено	-
112	\t	静音模式开启后 打印中无法切换打印速度	Print speed cannot be changed in silent mode	La velocidad de impresión no se puede cambiar en modo silencioso	La vitesse d'impression en peut pas être changée en mode silencieux	In modalità silenziosa la velocità di stampa non può essere modificata	Скорость печати нельзя изменить в тихом режиме	Die Druckgeschwindigkeit kann im Ruhemodus nicht geändert werden.	サイレントモードではプリントスピードを変更できません。	무음 모드에서는 인쇄 속도를 변경할 수 없습니다.	Sessiz modda Yazdırma hızı değiştirilemez	Швидкість друку не можна змінити в тихому режимі	-
113	\t	恢复	Resume	Reanudar	Reprendre	Riprendi	Продолжить	Fortsetzen	再開	이어출력하기	Devam Et	Продовжити	-
114	\t	模型灯	Model light	Luz de modelo	Éclairage de l'impression	Illuminazione modello	Подсветка модели	Modelllicht	モデル照明	모델 조명	Model Aydınlatma	Підсвічування моделі	-
115	\t	照明灯	Overhead light	Luz superior	Éclairage haut	Illuminazione zenitale	Подсветка стола	Oberlicht	全体照明	오버헤드 라이트	Tepe Aydınlatma	Підсвічування столу	-
116	\t	欢迎使用ELEGOO	Welcome to ELEGOO	Bienvenido a ELEGOO	Bienvenue dans ELEGOO	Benvenuti a ELEGOO	Добро пожаловать в ELEGOO	Willkommen bei ELEGOO	ELEGOOへようこそ	ELEGOO에 오신 것을 환영합니다	ELEGOO'ya Hoş Geldiniz	Ласкаво просимо до ELEGOO	-
117	\t	请确保箱体无杂物后点击确定	Ensure the chamber is free from foreign objects,then click“Confirm”.	Asegúrese de que no hay cuerpos extraños en la Cámara y luego haga clic en "confirmar"	Assurez - vous qu'il n'y a pas de corps étranger dans la chambre et cliquez sur "confirmer".	Assicurarsi che la camera sia libera da oggetti estranei, quindi fare clic su "Confermare."	Убедитесь, что в камере нет инородного тела, а затем нажмите « Подтвердить»	Stellen Sie sicher, dass die Kammer frei von Fremdkörpern ist, klicken Sie dann auf "Bestätigen".	キャビティに異物がないことを確認し、「確認」をクリックします	챔버에 이물질이 없는지 확인한 후 "확인"을 클릭하세요.	Görüntünün yeşil alanında yabancı nesnelerin bulunmadığından emin olun.	Переконайтеся, що в зеленій області зображення немає сторонніх предметів.	-
118	\t	上一步	Back	Atrás	Retour	Indietro	Назад	Zurück	戻る	뒤로	Geri	Назад	-
119	\t	设备自检	Device Self-check	Autocomprobación del dispositivo	Auto-contrôle de l'appareil	Test di autoverifica del dispositivo	Самопроверка устройства	Selbsttest des Geräts	デバイス自己診断	장치 자체 점검	Otomatik Cihaz Kontrolü	Самоперевірка пристрою	-
120	\t	请开始自检流程	Start self-check process	Iniciar el proceso de autocomprobación	Démarrer le processus d'autocontrôle	Avvia il test di autodiagnosi	Начать автопроверку.	Selbsttest starten	セルフチェックプロセスを開始します	셀프 체크 프로세스 시작	Otomatik kontrol işlemini başlatın	Почати автоперевірку.	-
121	\t	1.请放置好打印平台板,并将A面朝上。\n\n2.自检过程预计持续30分钟。	1. Place the build plate correctly, with Side A facing up.\n\n2.The process is expected to last for 30 minutes.	1. Coloque la placa de impresión correctamente, con el lado A hacia arriba.\n\n2.El proceso de autocomprobación se prevé que dure unos 30 minutos.	1. Placez la plaque d’impression correctement, avec la face A vers le haut.\n\n2.Le processus d'auto - contrôle devrait durer environ 30 minutes.	1. Posizionare correttamente il piano di stampa, con il lato A rivolto verso l'alto.\n\n2.Il test durerà per circa 30 minuti.	1. Правильно расположите рабочий стол стороной А вверх.\n\n2.Процес займёт около 30-и минут.	1. Legen Sie die Bauplatte richtig, mit der Seite A nach oben, auf.\n\n2.Der Vorgang wird voraussichtlich 30 Minuten dauern.	1.A面を上に向け、ビルドプレートを正しく配置します。\n\n2.このプロセスには30分ほどかかります。	1. 빌드 플레이트를 면 A가 위를 향하도록 올바르게 놓습니다.\n\n2. 이 과정은 30분 정도 걸릴 것으로 예상됩니다.	1. Lütfen yapı plakasını yerleştirin.\n\n2.İşlemin 15 dakika sürmesi beklenmektedir.	1. Встановіть друковану пластину.\n\n2.Процес займе близько 15 хвилин.	-
122	\t	开始	Start	Iniciar	Commencer	Avvia	Начать	Start	開始	시작	Başlat	Почати	-
123	\t	自检中请勿触碰	Do not touch the printer during self-checking	No toque la impresora durante la autocomprobación	Ne pas toucher l'imprimante pendant l'autocontrôle	Non toccare la stampante durante il processo di autodiagnosi	Не трогайте принтер в течение процесса.	Berühren Sie den Drucker während des Selbsttests nicht.	セルフチェック中はプリンターに触れないでください	자체 점검 중에는 프린터를 만지지 마십시오.	Otomatik kontrol sırasında yazıcıya dokunmayın	Не чіпайте принтер протягом процесу.	-
124	\t	喷嘴加热	Nozzle heating	Calentamiento de la boquilla	Chauffe de la buse	Riscaldamento dell'ugello in corso	Нагрев сопла	Heizen der Düse	ノズル加熱	노즐 히팅	Nozul ısıtma	Нагрівання сопла	-
125	\t	热床加热	Heated bed heating	Calentamiento de la plataforma	Chauffe de la plateforme	Riscaldamento del piatto di stampa in corso	Нагрев стола	Heizen des Heizbettes	ヒートベッド加熱	히트 베드 히팅 중	Isıtmalı yatak ısınıyor	Нагрівання столу	-
